pmid,treat,app_date,tan_app,e_cum_final,e_rel_final,date_int
1947,tank,2020-11-18,97.3,3.9108,0.040193,1
1948,tank,2020-11-18,97.3,4.9536,0.05091,1
1949,field,2020-11-18,103.6,13.686,0.13211,1
1950,field,2020-11-18,103.6,12.327,0.11898,1
1951,none,2020-11-18,95.2,20.002,0.2101,1
1952,field,2020-11-18,103.6,14.696,0.14186,1
1953,none,2020-11-18,95.2,19.961,0.20967,1
1954,tank,2020-11-18,97.3,5.3328,0.054808,1
1955,none,2020-11-18,95.2,17.132,0.17996,1
1956,none,2020-11-25,71.75,25.185,0.35102,2
1957,field,2020-11-25,72.45,26.979,0.37239,2
1958,tank,2020-11-25,67.55,1.3104,0.019399,2
1959,field,2020-11-25,72.45,20.757,0.28651,2
1960,tank,2020-11-25,67.55,1.8739,0.027741,2
1961,none,2020-11-25,71.75,25.384,0.35378,2
1962,tank,2020-11-25,67.55,2.316,0.034286,2
1963,field,2020-11-25,72.45,23.566,0.32527,2
1964,none,2020-11-25,71.75,26.899,0.3749,2
1965,none,2020-02-12,151.2,20.472,0.1354,3
1966,tank,2020-02-12,118.3,3.3581,0.028386,3
1967,field,2020-02-12,149.1,17.526,0.11754,3
1968,field,2020-02-12,149.1,17.556,0.11775,3
1969,tank,2020-02-12,118.3,3.1914,0.026977,3
1970,field,2020-02-12,149.1,17.232,0.11558,3
1971,none,2020-02-12,151.2,25.979,0.17182,3
1972,tank,2020-02-12,118.3,3.1087,0.026278,3
1973,none,2020-02-12,151.2,24.601,0.1627,3
1974,tank,2020-09-12,71.4,8.6166,0.12068,3
1975,tank,2020-12-09,71.4,8.8196,0.12352,4
1976,field,2020-12-09,65.1,15.699,0.24115,4
1977,none,2020-09-12,66.5,17.249,0.25938,4
1978,field,2020-09-12,65.1,14.614,0.22449,4
1979,none,2020-12-09,66.5,18.985,0.28548,4
1980,tank,2020-12-09,71.4,9.376,0.13132,4
1981,field,2020-12-09,65.1,14.665,0.22527,4
1982,none,2020-12-09,66.5,18.434,0.27721,4
